link_row,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,highway_code,vol_base_case,capacity_base_case,freespeed_ms,length_m,degree,times_intervened,mean_abs_response,std_response
27919,2.42439,48.81807,2.42436,48.81807,2.42438,48.81807,3,1.0,1200.0,6.94,6.9,6,0,0.0,0.0
27920,2.29405,48.86493,2.29363,48.86483,2.29384,48.86488,1,38.8,6000.0,8.33,32.9,2,318,4.593,5.609
27921,2.2757,48.86026,2.27575,48.86032,2.27572,48.86029,4,5.0,480.0,8.33,8.3,2,0,0.22,0.43
27922,2.40433,48.86434,2.40464,48.86466,2.40448,48.8645,4,18.6,480.0,8.33,42.4,2,0,4.829,6.254
27923,2.41486,48.87938,2.41305,48.87897,2.41395,48.87917,2,0.0,1000.0,8.33,140.6,2,0,0.0,0.0
27924,2.41305,48.87897,2.41486,48.87938,2.41395,48.87917,2,0.0,1000.0,8.33,140.6,2,0,0.0,0.0
27925,2.28764,48.84906,2.28719,48.84898,2.28741,48.84902,4,2.5,480.0,8.33,34.0,2,0,0.547,0.063
27926,2.28719,48.84898,2.28764,48.84906,2.28741,48.84902,4,2.5,480.0,8.33,34.0,3,0,0.547,0.063
27927,2.30262,48.84273,2.30267,48.84263,2.30265,48.84268,3,65.6,480.0,8.33,11.4,3,351,7.227,8.518
27928,2.30267,48.84263,2.30262,48.84273,2.30265,48.84268,3,73.2,480.0,8.33,11.4,3,351,4.989,5.171
27929,2.38801,48.83702,2.38852,48.83674,2.38827,48.83688,-1,0.0,0.0,0.0,48.1,4,0,0.0,0.0
27930,2.38852,48.83674,2.38801,48.83702,2.38827,48.83688,-1,0.0,0.0,0.0,48.1,2,0,0.0,0.0
27931,2.37897,48.8421,2.37966,48.84173,2.37931,48.84192,-1,0.0,0.0,0.0,65.4,3,0,0.0,0.0
27932,2.37966,48.84173,2.37897,48.8421,2.37931,48.84192,-1,0.0,0.0,0.0,65.4,2,0,0.0,0.0
27933,2.37966,48.84173,2.37984,48.84163,2.37975,48.84168,-1,0.0,0.0,0.0,17.9,3,0,0.0,0.0
27934,2.37984,48.84163,2.37966,48.84173,2.37975,48.84168,-1,0.0,0.0,0.0,17.9,2,0,0.0,0.0
27935,2.40666,48.86269,2.40414,48.86391,2.4054,48.8633,5,2.0,240.0,2.78,229.5,2,0,0.0,0.0
27936,2.37897,48.8421,2.3796,48.84187,2.37928,48.84199,-1,0.0,0.0,0.0,52.9,2,0,0.0,0.0
27937,2.3796,48.84187,2.37897,48.8421,2.37928,48.84199,-1,0.0,0.0,0.0,52.9,5,0,0.0,0.0
27938,2.3796,48.84187,2.3798,48.8418,2.3797,48.84184,-1,0.0,0.0,0.0,16.8,2,0,0.0,0.0
27939,2.3798,48.8418,2.3796,48.84187,2.3797,48.84184,-1,0.0,0.0,0.0,16.8,3,0,0.0,0.0
27940,2.3798,48.8418,2.3801,48.84168,2.37995,48.84174,-1,0.0,0.0,0.0,25.8,3,0,0.0,0.0
27941,2.3801,48.84168,2.3798,48.8418,2.37995,48.84174,-1,0.0,0.0,0.0,25.8,2,0,0.0,0.0
27942,2.40197,48.81463,2.40193,48.81455,2.40195,48.81459,1,0.0,4500.0,8.33,9.8,2,0,0.0,0.0
27943,2.39317,48.87218,2.39227,48.87165,2.39272,48.87192,4,14.8,480.0,8.33,88.7,3,0,2.758,2.609
27944,2.37286,48.87205,2.3726,48.8723,2.37273,48.87217,4,3.1,480.0,8.33,33.7,3,0,0.072,0.032
