"epoch","olive-shadow-2 - val_loss","olive-shadow-2 - val_loss__MIN","olive-shadow-2 - val_loss__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"32","79.67643015008224","79.67643015008224","79.67643015008224","3332","3332","3332"
"33","78.55056963468853","78.55056963468853","78.55056963468853","3433","3433","3433"
"34","78.40747010080437","78.40747010080437","78.40747010080437","3534","3534","3534"
"35","78.35782342208059","78.35782342208059","78.35782342208059","3635","3635","3635"
"36","79.14981701499538","79.14981701499538","79.14981701499538","3736","3736","3736"
"37","77.48048501265676","77.48048501265676","77.48048501265676","3837","3837","3837"
"38","78.06625607139186","78.06625607139186","78.06625607139186","3938","3938","3938"
"39","78.66292933413857","78.66292933413857","78.66292933413857","4039","4039","4039"
"40","77.04170126664012","77.04170126664012","77.04170126664012","4140","4140","4140"
"41","77.3611697146767","77.3611697146767","77.3611697146767","4241","4241","4241"
"42","77.7093421534488","77.7093421534488","77.7093421534488","4342","4342","4342"
"43","76.73088133962531","76.73088133962531","76.73088133962531","4443","4443","4443"
"44","76.39005159076892","76.39005159076892","76.39005159076892","4544","4544","4544"
"45","74.61751636705901","74.61751636705901","74.61751636705901","4645","4645","4645"
"46","74.28621051186009","74.28621051186009","74.28621051186009","4746","4746","4746"
"47","73.76249373586555","73.76249373586555","73.76249373586555","4847","4847","4847"
"48","73.57217628077457","73.57217628077457","73.57217628077457","4948","4948","4948"
"49","72.60268964265522","72.60268964265522","72.60268964265522","5049","5049","5049"
"50","71.61670845433285","71.61670845433285","71.61670845433285","5150","5150","5150"
"51","71.11467220908717","71.11467220908717","71.11467220908717","5251","5251","5251"
"52","70.71351603457802","70.71351603457802","70.71351603457802","5352","5352","5352"
"53","71.019658339651","71.019658339651","71.019658339651","5453","5453","5453"
"54","70.38704902247379","70.38704902247379","70.38704902247379","5554","5554","5554"
"55","70.18224756341232","70.18224756341232","70.18224756341232","5655","5655","5655"
"56","69.27596644351357","69.27596644351357","69.27596644351357","5756","5756","5756"
"57","68.17280598690635","68.17280598690635","68.17280598690635","5857","5857","5857"
"58","69.06755005685906","69.06755005685906","69.06755005685906","5958","5958","5958"
"59","68.85478491532176","68.85478491532176","68.85478491532176","6059","6059","6059"
"60","69.79349618209035","69.79349618209035","69.79349618209035","6160","6160","6160"
"61","67.87472654643811","67.87472654643811","67.87472654643811","6261","6261","6261"
"62","69.46260171187551","69.46260171187551","69.46260171187551","6362","6362","6362"
"63","67.95027080335115","67.95027080335115","67.95027080335115","6463","6463","6463"
"64","67.03921448557","67.03921448557","67.03921448557","6564","6564","6564"
"65","66.5320930480957","66.5320930480957","66.5320930480957","6665","6665","6665"
"66","67.39941085012336","67.39941085012336","67.39941085012336","6766","6766","6766"
"67","66.89467058683697","66.89467058683697","66.89467058683697","6867","6867","6867"
"68","67.69264923898797","67.69264923898797","67.69264923898797","6968","6968","6968"
"69","66.38830385710064","66.38830385710064","66.38830385710064","7069","7069","7069"
"70","66.133233522114","66.133233522114","66.133233522114","7170","7170","7170"
"71","66.86460916619552","66.86460916619552","66.86460916619552","7271","7271","7271"
"72","65.76162619339793","65.76162619339793","65.76162619339793","7372","7372","7372"
"73","66.37198779457493","66.37198779457493","66.37198779457493","7473","7473","7473"
"74","65.44320317318565","65.44320317318565","65.44320317318565","7574","7574","7574"
"75","66.17722159937809","66.17722159937809","66.17722159937809","7675","7675","7675"
"76","65.39248034828587","65.39248034828587","65.39248034828587","7776","7776","7776"
"77","65.24421912745426","65.24421912745426","65.24421912745426","7877","7877","7877"
"78","64.5212621186909","64.5212621186909","64.5212621186909","7978","7978","7978"
"79","65.60737830714176","65.60737830714176","65.60737830714176","8079","8079","8079"
"80","66.37746449520714","66.37746449520714","66.37746449520714","8180","8180","8180"
"81","65.64595654136257","65.64595654136257","65.64595654136257","8281","8281","8281"
"82","64.39533896195262","64.39533896195262","64.39533896195262","8382","8382","8382"
"83","63.92727460359272","63.92727460359272","63.92727460359272","8483","8483","8483"
