"epoch","olive-shadow-2 - train_loss","olive-shadow-2 - train_loss__MIN","olive-shadow-2 - train_loss__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"73","64.51250568389892","64.51250568389892","64.51250568389892","7473","7473","7473"
"74","64.52243209838868","64.52243209838868","64.52243209838868","7574","7574","7574"
"75","64.68973327636719","64.68973327636719","64.68973327636719","7675","7675","7675"
"76","64.35253787994385","64.35253787994385","64.35253787994385","7776","7776","7776"
"77","64.81700881958008","64.81700881958008","64.81700881958008","7877","7877","7877"
"78","64.6424407196045","64.6424407196045","64.6424407196045","7978","7978","7978"
"79","63.81103782653808","63.81103782653808","63.81103782653808","8079","8079","8079"
"80","63.77007392883301","63.77007392883301","63.77007392883301","8180","8180","8180"
"81","63.7235107421875","63.7235107421875","63.7235107421875","8281","8281","8281"
"82","63.33801223754883","63.33801223754883","63.33801223754883","8382","8382","8382"
"83","63.03949035644531","63.03949035644531","63.03949035644531","8483","8483","8483"
