"epoch","olive-shadow-2 - r^2","olive-shadow-2 - r^2__MIN","olive-shadow-2 - r^2__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"67","0.43593257665634155","0.43593257665634155","0.43593257665634155","6867","6867","6867"
"68","0.42920130491256714","0.42920130491256714","0.42920130491256714","6968","6968","6968"
"69","0.4402284622192383","0.4402284622192383","0.4402284622192383","7069","7069","7069"
"70","0.4423263669013977","0.4423263669013977","0.4423263669013977","7170","7170","7170"
"71","0.4362061023712158","0.4362061023712158","0.4362061023712158","7271","7271","7271"
"72","0.4454672932624817","0.4454672932624817","0.4454672932624817","7372","7372","7372"
"73","0.4403883218765259","0.4403883218765259","0.4403883218765259","7473","7473","7473"
"74","0.4482158422470093","0.4482158422470093","0.4482158422470093","7574","7574","7574"
"75","0.4419981837272644","0.4419981837272644","0.4419981837272644","7675","7675","7675"
"76","0.44859880208969116","0.44859880208969116","0.44859880208969116","7776","7776","7776"
"77","0.4498915672302246","0.4498915672302246","0.4498915672302246","7877","7877","7877"
